Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Bronze Medal;3;08/08/2024;Osmar OLVERA IBARRA;M;Diving;DIV;Men's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--;MEX;Mexico
Bronze Medal;3;08/11/2024;Tatiana RENTERIA RENTERIA;W;Wrestling;WRE;Women's Freestyle 76kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--;COL;Colombia
Silver Medal;2;08/08/2024;Nahid KIYANICHANDEH;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;08/03/2024;Julien ALFRED;W;Athletics;ATH;Women's 100m;https://olympics.com/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;LCA;Saint Lucia
Gold Medal;1;30/07/2024;Daniel WIFFEN;M;Swimming;SWM;Men's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--;IRL;Ireland
Gold Medal;1;08/11/2024;Akhmed TAZHUDINOV;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--;BRN;Bahrain
Gold Medal;1;08/09/2024;Imane KHELIF;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--;ALG;Algeria
Bronze Medal;3;08/03/2024;Lisa BARBELIN;W;Archery;ARC;Women's Individual;https://olympics.com/en/paris-2024/results/archery/women-s-individual/fnl-000200--;FRA;France
Silver Medal;2;08/10/2024;Amir Hossein ZARE;M;Wrestling;WRE;Men's Freestyle 125kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--;IRI;IR Iran
Silver Medal;2;08/09/2024;Yeison LOPEZ;M;Weightlifting;WLF;Men's 89kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--;COL;Colombia
Bronze Medal;3;31/07/2024;David POPOVICI;M;Swimming;SWM;Men's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--;ROU;Romania
Bronze Medal;3;08/06/2024;Sky BROWN;W;Skateboarding;SKB;Women's Park;https://olympics.com/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/09/2024;Hassan YAZDANICHARATI;M;Wrestling;WRE;Men's Freestyle 86kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;08/08/2024;Saeid ESMAEILI LEIVESI;M;Wrestling;WRE;Men's Greco-Roman 67kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--;IRI;IR Iran
Silver Medal;2;30/07/2024;Tato GRIGALASHVILI;M;Judo;JUD;Men -81 kg;https://olympics.com/en/paris-2024/results/judo/men--81-kg/fnl-000100--;GEO;Georgia
Silver Medal;2;08/09/2024;KALEYN Boryana;W;Rhythmic Gymnastics;GRY;Individual All-Around;;BUL;Bulgaria
Bronze Medal;3;08/09/2024;Serghei TARNOVSCHI;M;Canoe Sprint;CSP;Men's Canoe Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------;MDA;Republic of Moldova
Silver Medal;2;08/09/2024;Nadia BATTOCLETTI;W;Athletics;ATH;Women's 10,000m;https://olympics.com/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--;ITA;Italy
Silver Medal;2;08/01/2024;Serhiy KULISH;M;Shooting;SHO;50m Rifle 3 Positions Men;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--;UKR;Ukraine
Gold Medal;1;08/09/2024;Asadkhuja MUYDINKHUJAEV;M;Boxing;BOX;Men's 71kg;https://olympics.com/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;08/10/2024;Bakhodir JALOLOV;M;Boxing;BOX;Men's +92kg;https://olympics.com/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;08/09/2024;Jakob SCHUBERT;M;Sport Climbing;CLB;Men's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--;AUT;Austria
Silver Medal;2;08/10/2024;Sara AHMED;W;Weightlifting;WLF;Women's 81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--;EGY;Egypt
Silver Medal;2;31/07/2024;Miriam BUTKEREIT;W;Judo;JUD;Women -70 kg;https://olympics.com/en/paris-2024/results/judo/women--70-kg/fnl-000100--;GER;Germany
Gold Medal;1;08/07/2024;Oleksandr KHYZHNIAK;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--;UKR;Ukraine
Bronze Medal;3;08/07/2024;Uzur DZHUZUPBEKOV;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000200--;KGZ;Kyrgyzstan
Bronze Medal;3;08/05/2024;Zii Jia LEE;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000200--;MAS;Malaysia
Bronze Medal;3;08/05/2024;Johanne DEFAY;W;Surfing;SRF;Women;https://olympics.com/en/paris-2024/results/surfing/women/fnl---------;FRA;France
Silver Medal;2;08/10/2024;Julia SZEREMETA;W;Boxing;BOX;Women's 57kg;https://olympics.com/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--;POL;Poland
Bronze Medal;3;08/08/2024;KUO Hsing-Chun;W;Weightlifting;WLF;Women's 59kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--;TPE;Chinese Taipei
Bronze Medal;3;08/06/2024;Buse CAVUSOGLU TOSUN;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--;TUR;Türkiye
Bronze Medal;3;08/07/2024;Gabriel Alejandro ROSILLO KINDELAN;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--;CUB;Cuba
Bronze Medal;3;08/04/2024;Iryna GERASHCHENKO;W;Athletics;ATH;Women's High Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--;UKR;Ukraine
Silver Medal;2;29/07/2024;Victor LINDGREN;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;SWE;Sweden
Bronze Medal;3;08/11/2024;SEONG Seungmin;W;Modern Pentathlon;MPN;Women's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--;KOR;Korea
Gold Medal;1;08/03/2024;Markus ROOTH;M;Athletics;ATH;Men's Decathlon;https://olympics.com/en/paris-2024/results/athletics/men-s-decathlon/1500--------;NOR;Norway
Gold Medal;1;08/10/2024;Solfrid Eila Amena KOANDA;W;Weightlifting;WLF;Women's 81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--;NOR;Norway
Bronze Medal;3;08/08/2024;Turpal Ali BISULTANOV;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000200--;DEN;Denmark
Gold Medal;1;08/08/2024;Ulugbek RASHITOV;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;29/07/2024;Miran MARICIC;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;CRO;Croatia
Bronze Medal;3;08/04/2024;Felix LEBRUN;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000200--;FRA;France
Gold Medal;1;08/05/2024;AN Se Young;W;Badminton;BDM;Women's Singles;https://olympics.com/en/paris-2024/results/badminton/women-s-singles/fnl-000100--;KOR;Korea
Silver Medal;2;08/09/2024;ANRAKU Sorato;M;Sport Climbing;CLB;Men's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--;JPN;Japan
Bronze Medal;3;08/10/2024;Nikola OGRODNIKOVA;W;Athletics;ATH;Women's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--;CZE;Czechia
Bronze Medal;3;08/07/2024;Cyrian RAVET;M;Taekwondo;TKW;Men -58kg;https://olympics.com/en/paris-2024/results/taekwondo/men--58kg/repf000100--;FRA;France
Gold Medal;1;29/07/2024;BAN Hyojin;W;Shooting;SHO;10m Air Rifle Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--;KOR;Korea
Gold Medal;1;08/02/2024;Joris DAUDET;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Gold Medal;1;28/07/2024;Pauline FERRAND PREVOT;W;Cycling Mountain Bike;MTB;Women's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--;FRA;France
Bronze Medal;3;08/05/2024;Kimberley WOODS;W;Canoe Slalom;CSL;Women's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------;GBR;Great Britain
Gold Medal;1;08/09/2024;VARFOLOMEEV Darja;W;Rhythmic Gymnastics;GRY;Individual All-Around;;GER;Germany
Silver Medal;2;08/05/2024;Illia KOVTUN;M;Artistic Gymnastics;GAR;Men's Parallel Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--;UKR;Ukraine
Bronze Medal;3;29/07/2024;Olga KHARLAN;W;Fencing;FEN;Women's Sabre Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--;UKR;Ukraine
Silver Medal;2;08/08/2024;Weeraphon WICHUMA;M;Weightlifting;WLF;Men's 73kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--;THA;Thailand
Gold Medal;1;08/09/2024;Marileidy PAULINO;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;DOM;Dominican Republic
Gold Medal;1;28/07/2024;YOSHIZAWA Coco;W;Skateboarding;SKB;Women's Street;https://olympics.com/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--;JPN;Japan
Gold Medal;1;08/04/2024;KIM Woojin;M;Archery;ARC;Men's Individual;https://olympics.com/en/paris-2024/results/archery/men-s-individual/fnl-000100--;KOR;Korea
Bronze Medal;3;08/08/2024;Bozhidar Dimitrov ANDREEV;M;Weightlifting;WLF;Men's 73kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--;BUL;Bulgaria
Gold Medal;1;08/09/2024;Karlos May NASAR;M;Weightlifting;WLF;Men's 89kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--;BUL;Bulgaria
Gold Medal;1;08/03/2024;Remco EVENEPOEL;M;Cycling Road;CRD;Men's Road Race;https://olympics.com/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--;BEL;Belgium
Silver Medal;2;29/07/2024;Matthew RICHARDS;M;Swimming;SWM;Men's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/04/2024;Harry HEPWORTH;M;Artistic Gymnastics;GAR;Men's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--;GBR;Great Britain
Gold Medal;1;08/02/2024;Bryony PAGE;W;Trampoline Gymnastics;GTR;Women;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;GBR;Great Britain
Silver Medal;2;08/07/2024;Pavlos KONTIDES;M;Sailing;SAL;Men's Dinghy;https://olympics.com/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--;CYP;Cyprus
Silver Medal;2;08/09/2024;Oliver KLEMET;M;Marathon Swimming;OWS;Men's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--;GER;Germany
Bronze Medal;3;08/04/2024;Davlat BOLTAEV;M;Boxing;BOX;Men's 92kg;https://olympics.com/en/paris-2024/results/boxing/men-s-92kg/sfnl000200--;TJK;Tajikistan
Silver Medal;2;31/07/2024;Anastasiia KIRPICHNIKOVA;W;Swimming;SWM;Women's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--;FRA;France
Gold Medal;1;31/07/2024;Leon MARCHAND;M;Swimming;SWM;Men's 200m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--;FRA;France
Bronze Medal;3;08/08/2024;LIANG Yushuai;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/repf000100--;CHN;China
Bronze Medal;3;08/10/2024;Benson KIPRUTO;M;Athletics;ATH;Men's Marathon;https://olympics.com/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--;KEN;Kenya
Silver Medal;2;08/10/2024;Cyrena SAMBA-MAYELA;W;Athletics;ATH;Women's 100m Hurdles;https://olympics.com/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--;FRA;France
Bronze Medal;3;08/06/2024;Lewis RICHARDSON;M;Boxing;BOX;Men's 71kg;https://olympics.com/en/paris-2024/results/boxing/men-s-71kg/sfnl000200--;GBR;Great Britain
Gold Medal;1;08/07/2024;Roje STONA;M;Athletics;ATH;Men's Discus Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-discus-throw/fnl-000100--;JAM;Jamaica
Silver Medal;2;08/08/2024;WU Peng;M;Sport Climbing;CLB;Men's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-speed/------------;CHN;China
Bronze Medal;3;08/02/2024;ZHANG Qiongyue;W;Shooting;SHO;50m Rifle 3 Positions Women;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;CHN;China
Gold Medal;1;29/07/2024;Michael JUNG;O;Equestrian;EQD;Eventing Individual;https://olympics.com/en/paris-2024/results/equestrian/eventing-individual/jump000100--;GER;Germany
Silver Medal;2;29/07/2024;Sara BALZER;W;Fencing;FEN;Women's Sabre Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--;FRA;France
Silver Medal;2;08/04/2024;ZOU Jingyuan;M;Artistic Gymnastics;GAR;Men's Rings;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--;CHN;China
Bronze Medal;3;08/09/2024;SONG Jiayuan;W;Athletics;ATH;Women's Shot Put;https://olympics.com/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--;CHN;China
Gold Medal;1;08/05/2024;OKA Shinnosuke;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;JPN;Japan
Bronze Medal;3;08/07/2024;FENG Ziqi;W;Wrestling;WRE;Women's Freestyle 50kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-50kg/repf000200--;CHN;China
Silver Medal;2;08/03/2024;Leo NEUGEBAUER;M;Athletics;ATH;Men's Decathlon;https://olympics.com/en/paris-2024/results/athletics/men-s-decathlon/1500--------;GER;Germany
Silver Medal;2;08/09/2024;NICKA;W;Breaking;BKG;B-Girls;https://olympics.com/en/paris-2024/results/breaking/b-girls/fnl-000100--;LTU;Lithuania
Bronze Medal;3;08/04/2024;Gregoria Mariska TUNJUNG;W;Badminton;BDM;Women's Singles;https://olympics.com/en/paris-2024/results/badminton/women-s-singles/sfnl000100--;INA;Indonesia
Gold Medal;1;27/07/2024;OH Sanguk;M;Fencing;FEN;Men's Sabre Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--;KOR;Korea
Gold Medal;1;08/03/2024;Tom REUVENY;M;Sailing;SAL;Men's Windsurfing;https://olympics.com/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--;ISR;Israel
Silver Medal;2;29/07/2024;HUH Mimi;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/fnl-000100--;KOR;Korea
Silver Medal;2;08/02/2024;KIM Minjong;M;Judo;JUD;Men +100 kg;https://olympics.com/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--;KOR;Korea
Bronze Medal;3;08/09/2024;Aman AMAN;M;Wrestling;WRE;Men's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000100--;IND;India
Silver Medal;2;08/07/2024;Nurbek ORALBAY;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--;KAZ;Kazakhstan
Silver Medal;2;08/08/2024;Iuri LEITAO;M;Cycling Track;CTR;Men's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--;POR;Portugal
Silver Medal;2;08/05/2024;Angel BARAJAS;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;COL;Colombia
Silver Medal;2;08/03/2024;Kate DOUGLASS;W;Swimming;SWM;Women's 200m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--;USA;United States
Bronze Medal;3;28/07/2024;Mohamed ELSAYED;M;Fencing;FEN;Men's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--;EGY;Egypt
Bronze Medal;3;08/07/2024;Muzala SAMUKONGA;M;Athletics;ATH;Men's 400m;https://olympics.com/en/paris-2024/results/athletics/men-s-400m/fnl-000100--;ZAM;Zambia
Gold Medal;1;08/04/2024;Francisca CROVETTO CHADID;W;Shooting;SHO;Skeet Women;https://olympics.com/en/paris-2024/results/shooting/skeet-women/fnl-000100--;CHI;Chile
Silver Medal;2;08/06/2024;Wayne PINNOCK;M;Athletics;ATH;Men's Long Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--;JAM;Jamaica
Gold Medal;1;08/11/2024;KIYOOKA Kotaro;M;Wrestling;WRE;Men's Freestyle 65kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--;JPN;Japan
Bronze Medal;3;08/08/2024;Caitlin PARKER;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/sfnl000100--;AUS;Australia
Silver Medal;2;08/09/2024;Matthew RICHARDSON;M;Cycling Track;CTR;Men's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------;AUS;Australia
Silver Medal;2;08/11/2024;Matthew RICHARDSON;M;Cycling Track;CTR;Men's Keirin;https://olympics.com/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------;AUS;Australia
Gold Medal;1;08/05/2024;Caroline MARKS;W;Surfing;SRF;Women;https://olympics.com/en/paris-2024/results/surfing/women/fnl---------;USA;United States
Gold Medal;1;08/03/2024;Vincent HANCOCK;M;Shooting;SHO;Skeet Men;https://olympics.com/en/paris-2024/results/shooting/skeet-men/fnl-000100--;USA;United States
Gold Medal;1;08/11/2024;Ellesse ANDREWS;W;Cycling Track;CTR;Women's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------;NZL;New Zealand
Bronze Medal;3;08/11/2024;Ally WOLLASTON;W;Cycling Track;CTR;Women's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--;NZL;New Zealand
Gold Medal;1;27/07/2024;Ariarne TITMUS;W;Swimming;SWM;Women's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--;AUS;Australia
Silver Medal;2;27/07/2024;Elijah WINNINGTON;M;Swimming;SWM;Men's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--;AUS;Australia
Gold Medal;1;08/02/2024;Kaylee McKEOWN;W;Swimming;SWM;Women's 200m Backstroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;AUS;Australia
Silver Medal;2;08/04/2024;Meg HARRIS;W;Swimming;SWM;Women's 50m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-50m-freestyle/fnl-000100--;AUS;Australia
Silver Medal;2;08/07/2024;Gashim MAGOMEDOV;M;Taekwondo;TKW;Men -58kg;https://olympics.com/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--;AZE;Azerbaijan
Bronze Medal;3;08/07/2024;Mohamed Khalil JENDOUBI;M;Taekwondo;TKW;Men -58kg;https://olympics.com/en/paris-2024/results/taekwondo/men--58kg/repf000200--;TUN;Tunisia
Silver Medal;2;08/09/2024;Isaquias QUEIROZ;M;Canoe Sprint;CSP;Men's Canoe Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------;BRA;Brazil
Silver Medal;2;08/03/2024;Rebeca ANDRADE;W;Artistic Gymnastics;GAR;Women's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--;BRA;Brazil
Gold Medal;1;08/05/2024;Rebeca ANDRADE;W;Artistic Gymnastics;GAR;Women's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--;BRA;Brazil
Gold Medal;1;08/02/2024;Beatriz SOUZA;W;Judo;JUD;Women +78 kg;https://olympics.com/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--;BRA;Brazil
Bronze Medal;3;08/01/2024;Pau ECHANIZ;M;Canoe Slalom;CSL;Men's Kayak Single;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--;ESP;Spain
Bronze Medal;3;27/07/2024;Chloe DYGERT;W;Cycling Road;CRD;Women's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;USA;United States
Bronze Medal;3;08/10/2024;Georgia BELL;W;Athletics;ATH;Women's 1500m;https://olympics.com/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/03/2024;Jade CAREY;W;Artistic Gymnastics;GAR;Women's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--;USA;United States
Gold Medal;1;08/07/2024;Quincy HALL;M;Athletics;ATH;Men's 400m;https://olympics.com/en/paris-2024/results/athletics/men-s-400m/fnl-000100--;USA;United States
Gold Medal;1;08/09/2024;Rai BENJAMIN;M;Athletics;ATH;Men's 400m Hurdles;https://olympics.com/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--;USA;United States
Silver Medal;2;08/06/2024;Annette Nneka ECHIKUNWOKE;W;Athletics;ATH;Women's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--;USA;United States
Gold Medal;1;29/07/2024;Tatjana SMITH;W;Swimming;SWM;Women's 100m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--;RSA;South Africa
Gold Medal;1;08/10/2024;Katie VINCENT;W;Canoe Sprint;CSP;Women's Canoe Single 200m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------;CAN;Canada
Silver Medal;2;08/08/2024;Daniel ROBERTS;M;Athletics;ATH;Men's 110m Hurdles;https://olympics.com/en/paris-2024/results/athletics/men-s-110m-hurdles/fnl-000100--;USA;United States
Bronze Medal;3;08/08/2024;Jasmine MOORE;W;Athletics;ATH;Women's Long Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-long-jump/fnl-000100--;USA;United States
Gold Medal;1;08/08/2024;Sydney McLAUGHLIN-LEVRONE;W;Athletics;ATH;Women's 400m Hurdles;https://olympics.com/en/paris-2024/results/athletics/women-s-400m-hurdles/fnl-000100--;USA;United States
Bronze Medal;3;08/06/2024;Yared NUGUSE;M;Athletics;ATH;Men's 1500m;https://olympics.com/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--;USA;United States
Silver Medal;2;08/07/2024;Kenneth ROOKS;M;Athletics;ATH;Men's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--;USA;United States
Silver Medal;2;08/03/2024;Josh LIENDO;M;Swimming;SWM;Men's 100m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--;CAN;Canada
Bronze Medal;3;08/03/2024;Luuc van OPZEELAND;M;Sailing;SAL;Men's Windsurfing;https://olympics.com/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--;NED;Netherlands
Gold Medal;1;08/11/2024;Sifan HASSAN;W;Athletics;ATH;Women's Marathon;https://olympics.com/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--;NED;Netherlands
Gold Medal;1;08/08/2024;Sharon van ROUWENDAAL;W;Marathon Swimming;OWS;Women's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--;NED;Netherlands
Bronze Medal;3;08/01/2024;Tes SCHOUTEN;W;Swimming;SWM;Women's 200m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--;NED;Netherlands
Bronze Medal;3;08/02/2024;Sophiane METHOT;W;Trampoline Gymnastics;GTR;Women;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;CAN;Canada
Silver Medal;2;08/06/2024;Steve GUERDAT;O;Equestrian;EQD;Jumping Individual;https://olympics.com/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--;SUI;Switzerland
Bronze Medal;3;08/06/2024;Maikel van der VLEUTEN;O;Equestrian;EQD;Jumping Individual;https://olympics.com/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--;NED;Netherlands
Silver Medal;2;08/04/2024;Amber Jo RUTTER;W;Shooting;SHO;Skeet Women;https://olympics.com/en/paris-2024/results/shooting/skeet-women/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/06/2024;Aira VILLEGAS;W;Boxing;BOX;Women's 50kg;https://olympics.com/en/paris-2024/results/boxing/women-s-50kg/sfnl000200--;PHI;Philippines
Bronze Medal;3;08/06/2024;RI Se Ung;M;Wrestling;WRE;Men's Greco-Roman 60kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000200--;PRK;DPR Korea
Gold Medal;1;30/07/2024;Andreja LESKI;W;Judo;JUD;Women -63 kg;https://olympics.com/en/paris-2024/results/judo/women--63-kg/fnl-000100--;SLO;Slovenia
Gold Medal;1;08/10/2024;Janja GARNBRET;W;Sport Climbing;CLB;Women's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--;SLO;Slovenia
Silver Medal;2;08/09/2024;Toni VODISEK;M;Sailing;SAL;Men's Kite;https://olympics.com/en/paris-2024/results/sailing/men-s-kite/fnl-000300--;SLO;Slovenia
